id,pincode,city,state,zone
1,390010,vadodara,Gujarat,West Zone
2,841238,Siwan,Bihar,east
3,110001,DELHI,DELHI,NORTH
4,110002,DELHI,DELHI,NORTH
5,110003,DELHI,DELHI,NORTH
6,110004,DELHI,DELHI,NORTH
7,110005,DELHI,DELHI,NORTH
8,110006,DELHI,DELHI,NORTH
9,110007,DELHI,DELHI,NORTH
10,110008,DELHI,DELHI,NORTH
11,110009,DELHI,DELHI,NORTH
12,110010,DELHI,DELHI,NORTH
13,110011,DELHI,DELHI,NORTH
14,110012,DELHI,DELHI,NORTH
15,110013,DELHI,DELHI,NORTH
16,110014,DELHI,DELHI,NORTH
17,110015,DELHI,DELHI,NORTH
18,110016,DELHI,DELHI,NORTH
19,110017,DELHI,DELHI,NORTH
20,110018,DELHI,DELHI,NORTH
21,110019,DELHI,DELHI,NORTH
22,110020,DELHI,DELHI,NORTH
23,110021,DELHI,DELHI,NORTH
24,110022,DELHI,DELHI,NORTH
25,110023,DELHI,DELHI,NORTH
26,110024,DELHI,DELHI,NORTH
27,110025,DELHI,DELHI,NORTH
28,110026,DELHI,DELHI,NORTH
29,110027,DELHI,DELHI,NORTH
30,110028,DELHI,DELHI,NORTH
31,110029,DELHI,DELHI,NORTH
32,110030,DELHI,DELHI,NORTH
33,110031,DELHI,DELHI,NORTH
34,110032,DELHI,DELHI,NORTH
35,110033,DELHI,DELHI,NORTH
36,110034,DELHI,DELHI,NORTH
37,110035,DELHI,DELHI,NORTH
38,110036,DELHI,DELHI,NORTH
39,110037,DELHI,DELHI,NORTH
40,110038,DELHI,DELHI,NORTH
41,110039,DELHI,DELHI,NORTH
42,110040,DELHI,DELHI,NORTH
43,110041,DELHI,DELHI,NORTH
44,110042,DELHI,DELHI,NORTH
45,110043,DELHI,DELHI,NORTH
46,110044,DELHI,DELHI,NORTH
47,110045,DELHI,DELHI,NORTH
48,110046,DELHI,DELHI,NORTH
49,110047,DELHI,DELHI,NORTH
50,110048,DELHI,DELHI,NORTH
51,110049,DELHI,DELHI,NORTH
52,110050,DELHI,DELHI,NORTH
53,110051,DELHI,DELHI,NORTH
54,110052,DELHI,DELHI,NORTH
55,110053,DELHI,DELHI,NORTH
56,110054,DELHI,DELHI,NORTH
57,110055,DELHI,DELHI,NORTH
58,110056,DELHI,DELHI,NORTH
59,110057,DELHI,DELHI,NORTH
60,110058,DELHI,DELHI,NORTH
61,110059,DELHI,DELHI,NORTH
62,110060,DELHI,DELHI,NORTH
63,110061,DELHI,DELHI,NORTH
64,110062,DELHI,DELHI,NORTH
65,110063,DELHI,DELHI,NORTH
66,110064,DELHI,DELHI,NORTH
67,110065,DELHI,DELHI,NORTH
68,110066,DELHI,DELHI,NORTH
69,110067,DELHI,DELHI,NORTH
70,110068,DELHI,DELHI,NORTH
71,110069,DELHI,DELHI,NORTH
72,110070,DELHI,DELHI,NORTH
